#{"t_start": 1735914780.9122148, "env_id": "None"}
r,l,t
-2.0,1,0.260107
-2.0,1,0.983006
-2.0,1,1.338099
-2.0,1,1.68232
-2.0,1,1.974778
-2.0,1,2.295609
-2.0,1,2.579725
-2.0,1,2.841169
-2.13144,2,4.335598
-2.0,1,4.566283
-2.0,1,4.808445
-2.0,1,5.058878
-2.0,1,5.310706
-2.0,1,5.602898
-2.0,1,5.846946
-2.0,1,6.216032
-2.0,1,6.50545
-2.0,1,6.84476
-2.0,1,7.142649
-2.0,1,7.464566
-2.0,1,7.928887
-2.0,1,8.180105
-2.0,1,8.522469
-2.0,1,8.938802
-2.0,1,9.229152
-2.0,1,9.580775
-2.0,1,9.901928
-2.0,1,10.269057
-2.0,1,10.584705
-2.0,1,11.020411
-2.247586,2,12.053199
-2.0,1,12.387794
-2.0,1,12.663488
-2.0,1,12.953161
-2.0,1,13.257262
-2.0,1,13.595934
-2.0,1,13.943833
-2.0,1,14.29631
-2.0,1,14.715005
-2.0,1,15.048933
-2.0,1,15.306948
-2.193113,2,15.929156
-2.0,1,16.433432
-2.0,1,16.681845
-2.0,1,16.954666
-2.162774,2,17.745821
-2.14706,2,18.602017
-2.0,1,18.885527
-2.0,1,19.153488
-2.0,1,19.427622
-2.176351,2,20.205431
-2.0,1,20.479856
-2.13564,2,21.108021
-2.0,1,21.362484
-2.0,1,21.613319
-2.0,1,21.864249
-2.0,1,22.127763
-2.0,1,22.469367
-2.0,1,22.748064
-2.0,1,22.994852
-2.12671,2,23.607723
-2.0,1,24.00987
-2.120862,2,24.840755
-2.0,1,25.272098
-2.12629,2,25.952601
-2.0,1,26.256399
-2.0,1,26.596725
-2.0,1,26.959134
-2.0,1,27.304931
-2.125384,2,28.24806
-2.114114,2,29.08834
-2.0,1,29.432342
-2.0,1,29.694865
-2.0,1,29.963905
-2.0,1,30.217393
-2.0,1,30.501805
-2.0,1,31.020221
-2.0,1,31.321373
-2.0,1,31.659202
-2.0,1,31.950886
-2.0,1,32.202618
-2.0,1,32.496337
-2.0,1,32.969727
-2.0,1,33.29039
-2.0,1,33.609621
-2.0,1,33.946661
-2.0,1,34.220833
-2.0,1,34.530289
-2.0,1,34.877771
-2.0,1,35.192461
-2.0,1,35.485213
-2.0,1,35.841662
