Epoch 1/20, Train Loss: 0.5184, Val Loss: 0.5176
Epoch 2/20, Train Loss: 0.4487, Val Loss: 0.4561
Epoch 3/20, Train Loss: 0.4160, Val Loss: 0.3963
Epoch 4/20, Train Loss: 0.3948, Val Loss: 0.3808
Epoch 5/20, Train Loss: 0.3759, Val Loss: 0.3678
Epoch 6/20, Train Loss: 0.3582, Val Loss: 0.3499
Epoch 7/20, Train Loss: 0.3413, Val Loss: 0.3337
Epoch 8/20, Train Loss: 0.3253, Val Loss: 0.3185
Epoch 9/20, Train Loss: 0.3098, Val Loss: 0.3018
Epoch 10/20, Train Loss: 0.2912, Val Loss: 0.2799
Epoch 11/20, Train Loss: 0.2706, Val Loss: 0.2625
Epoch 12/20, Train Loss: 0.2508, Val Loss: 0.2450
Epoch 13/20, Train Loss: 0.2322, Val Loss: 0.2257
Epoch 14/20, Train Loss: 0.2148, Val Loss: 0.2083
Epoch 15/20, Train Loss: 0.1987, Val Loss: 0.1921
Epoch 16/20, Train Loss: 0.1838, Val Loss: 0.1780
Epoch 17/20, Train Loss: 0.1701, Val Loss: 0.1650
Epoch 18/20, Train Loss: 0.1575, Val Loss: 0.1526
Epoch 19/20, Train Loss: 0.1461, Val Loss: 0.1423
Epoch 20/20, Train Loss: 0.1356, Val Loss: 0.1317
